ID,Airline,Airplane Model,Origin,Destination,Passengers,Ticket Cost,Minutes,Distance (km),Date,Flight Type,Pilot Name,Revenue(Without Discounts),Departure Time,Arrival Time,Flight Status,Fuel Consumption (liters),CO2 Emissions (kg),Load Factor (%),Delay Minutes,Fuel Type, Service Class, Delay Reason,Fuel Cost (liter),Total Fuel Cost,Pilot Payment (Hour),Total Pilot Payment ,Maintenance Cost,Airport Fees,Insurance Cost,Total Costs,Total Revenue,Unnamed: 32,Unnamed: 33,Results,Unnamed: 35
297,American Airlines,Boeing 777-300ER,DFW,HNL,312,1890.0,540,3780,2025-05-22,Domestic,Capt. David Lee,221520,10:50:00,19:50:00,Completed,34000,88400,89,0,Jet A-1,Business,-,2.2,74800.0,120,1080,520,750,500,77650.0,143870.0,,,,
298,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-05-23,International,Capt. Wei Chen,14508,16:50:00,17:35:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,2228.0,,,,
299,United Airlines,Boeing 767-400,ORD,MIA,214,665.0,180,1900,2025-05-24,Domestic,Capt. Emily Johnson,64200,14:05:00,17:05:00,Completed,16500,42900,82,0,Jet A,Economy,-,2.2,36300.0,120,360,190,750,500,38100.0,26100.0,,,,
300,Singapore Airlines,Airbus A350-900,SIN,LHR,301,5070.0,780,6760,2025-05-25,International,Capt. Raj Patel,406350,00:00:00,07:00+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,1560,900,1600,500,68360.0,337990.0,,,,
301,Delta Air Lines,Boeing 737-900,ATL,MCO,178,224.0,90,640,2025-05-01,Domestic,Capt. Sarah Miller,37380,08:20:00,09:50:00,Completed,5800,15080,88,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,23000.0,,,,
302,Emirates,Airbus A380-800,DXB,LHR,501,1197.0,420,3420,2025-05-02,International,Capt. Ahmed Khan,726450,14:00:00,21:00:00,Delayed,51000,132600,96,45,Jet A-1,Premium Economy,Technical Issues,2.2,112200.00000000001,120,840,250,1600,500,115390.00000000001,611060.0,,,,
303,Southwest Airlines,Boeing 737-800,DAL,MSY,143,157.5,70,450,2025-05-03,Domestic,Capt. Ryan Garcia,18590,11:30:00,12:40:00,Completed,4000,10400,91,0,Jet A,Economy,-,2.2,8800.0,120,140,190,750,500,10380.0,8210.0,,,,
304,Lufthansa,Boeing 747-8,FRA,LAX,365,2885.0,660,5770,2025-05-04,International,Capt. Hans Weber,438000,16:45:00,06:15+1,Completed,42000,109200,89,0,Jet A-1,Business,-,2.2,92400.00000000001,120,1320,520,1600,500,96340.00000000001,341660.0,,,,
305,Volaris,Airbus A320neo,GDL,TIJ,180,251.99999999999997,80,720,2025-05-05,Domestic,Capt. Luis HernÃ¡ndez,28800,13:15:00,14:35:00,Completed,6500,16900,93,0,Jet A,Economy,-,2.2,14300.000000000002,120,160,190,750,500,15900.000000000002,12899.999999999998,,,,
306,Qantas,Boeing 787-9,MEL,AKL,242,752.5,180,2150,2025-05-06,International,Capt. Olivia Brown,229900,09:00:00,12:00:00,Completed,18000,46800,85,0,Jet A-1,Premium Economy,-,2.2,39600.0,120,360,250,1600,500,42310.0,187590.0,,,,
307,American Airlines,Boeing 777-200,DFW,CDG,298,2505.0,540,5010,2025-05-07,International,Capt. Robert Taylor,327800,18:30:00,09:30+1,Delayed,38000,98800,87,32,Jet A-1,Business,Air Traffic Control,2.2,83600.0,120,1080,520,1600,500,87300.0,240500.0,,,,
308,AirAsia,Airbus A320-200,BKK,KUL,186,129.5,45,370,2025-05-08,International,Capt. Priya Singh,13950,15:20:00,16:05:00,Completed,4200,10920,94,0,Jet A,Economy,-,2.2,9240.0,120,90,190,1600,500,11620.0,2330.0,,,,
309,United Airlines,Boeing 787-9,ORD,HNL,248,1323.0,540,3780,2025-05-09,Domestic,Capt. Emily Chen,193440,07:15:00,16:15:00,Completed,30000,78000,90,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,750,500,68580.0,124860.0,,,,
310,Singapore Airlines,Airbus A350-900,SIN,SYD,301,2940.0,480,3920,2025-05-10,International,Capt. Rajesh Kumar,376250,20:00:00,06:00+1,Completed,31000,80600,92,0,Jet A-1,First Class,-,2.2,68200.0,120,960,900,1600,500,72160.0,304090.0,,,,
311,Alaska Airlines,Boeing 737-800,SEA,PDX,148,84.0,45,240,2025-05-11,Domestic,Capt. Laura Wilson,17760,10:45:00,11:30:00,Completed,3000,7800,84,0,Jet A,Economy,-,2.2,6600.000000000001,120,90,190,750,500,8130.000000000001,9630.0,,,,
312,Japan Airlines,Boeing 787-8,NRT,HKG,242,1050.0,300,2100,2025-05-12,International,Capt. Kenji Yamamoto,237160,12:30:00,17:30:00,Completed,22000,57200,88,0,Jet A-1,Business,-,2.2,48400.00000000001,120,600,520,1600,500,51620.00000000001,185540.0,,,,
313,Spirit Airlines,Airbus A321-200,LAS,PHX,235,161.0,70,460,2025-05-13,Domestic,Capt. Brian Davis,22325,14:20:00,15:30:00,Completed,5000,13000,89,0,Jet A,Economy,-,2.2,11000.0,120,140,190,750,500,12580.0,9745.0,,,,
314,Turkish Airlines,Boeing 777-300ER,IST,ORD,342,2550.0,600,5100,2025-05-14,International,Capt. Mehmet YÄ±ldÄ±z,393300,13:00:00,23:00:00,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1200,520,1600,500,85220.0,308080.0,,,,
315,Air France,Airbus A350-900,CDG,JFK,301,1270.5,420,3630,2025-05-15,International,Capt. Sophie Laurent,316050,15:40:00,21:40:00,Completed,32000,83200,90,12,Jet A-1,Premium Economy,Weather,2.2,70400.0,120,840,250,1600,500,73590.0,242460.0,,,,
316,JetBlue,Airbus A220-300,JFK,DCA,120,115.49999999999999,50,330,2025-05-16,Domestic,Capt. Daniel White,13200,08:30:00,09:20:00,Completed,2500,6500,82,0,Jet A,Economy,-,2.2,5500.0,120,100,190,750,500,7040.0,6160.0,,,,
317,Cathay Pacific,Airbus A350-1000,HKG,SFO,369,5182.5,840,6910,2025-05-17,International,Capt. Emily Wong,498150,10:00:00,01:00+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,407670.0,,,,
318,Frontier Airlines,Airbus A319-100,DEN,ATL,156,336.0,120,960,2025-05-18,Domestic,Capt. Kevin Taylor,15600,17:15:00,19:15:00,Completed,7500,19500,87,0,Jet A,Economy,-,2.2,16500.0,120,240,190,750,500,18180.0,-2580.0,,,,
319,Qatar Airways,Boeing 777-300ER,DOH,JFK,312,4140.0,660,5520,2025-05-19,International,Capt. Ali Al-Mansoori,483600,02:00:00,14:00:00,Completed,43000,111800,93,0,Jet A-1,First Class,-,2.2,94600.00000000001,120,1320,900,1600,500,98920.00000000001,384680.0,,,,
320,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-05-20,International,Capt. Juan RodrÃ­guez,59160,09:30:00,12:30:00,Completed,14500,37700,90,18,Jet A,Premium Economy,Technical Issues,2.2,31900.000000000004,120,360,250,1600,500,34610.0,24550.0,,,,
321,Air Canada,Airbus A330-300,YUL,YYZ,124,105.0,60,300,2025-05-21,Domestic,Capt. Sarah Johnson,22320,11:45:00,12:45:00,Completed,4500,11700,81,0,Jet A,Economy,-,2.2,9900.0,120,120,190,750,500,11460.0,10860.0,,,,
322,Ryanair,Boeing 737-800,STN,DUB,189,164.5,90,470,2025-05-22,International,Capt. Sean Murphy,12285,19:30:00,21:00:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-6685.0,,,,
323,ANA,Boeing 787-9,HND,LAX,248,2735.0,780,5470,2025-05-23,International,Capt. Kenji Sato,285200,14:00:00,06:00+1,Completed,29000,75400,89,0,Jet A-1,Business,-,2.2,63800.00000000001,120,1560,520,1600,500,67980.0,217220.0,,,,
324,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-05-24,Domestic,Capt. Leilani Koa,111200,08:45:00,13:45:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,66200.0,,,,
325,KLM,Boeing 787-10,AMS,SFO,293,2685.0,660,5370,2025-05-25,International,Capt. Pieter Van Dijk,366250,12:30:00,02:30+1,Completed,34000,88400,91,0,Jet A-1,Business,-,2.2,74800.0,120,1320,520,1600,500,78740.0,287510.0,,,,
326,Azul Brazilian Airlines,Embraer E195,CNF,GRU,124,140.0,70,400,2025-05-26,Domestic,Capt. Thiago Silva,22320,15:40:00,16:50:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,10840.0,,,,
327,Etihad Airways,Airbus A380-800,AUH,CDG,489,2550.0,420,3400,2025-05-27,International,Capt. Omar Khan,733500,04:00:00,12:00:00,Cancelled,48000,124800,95,-,Jet A-1,First Class,Strike,2.2,105600.00000000001,120,840,900,1600,500,109440.00000000001,624060.0,,,,
328,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-05-28,Domestic,Capt. Lisa Brown,15810,16:30:00,17:15:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,6580.0,,,,
329,Virgin Atlantic,Airbus A350-1000,LHR,LAX,301,4080.0,660,5440,2025-05-29,International,Capt. Emma Wilson,421400,19:00:00,08:00+1,Completed,35000,91000,90,0,Jet A-1,First Class,-,2.2,77000.0,120,1320,900,1600,500,81320.0,340080.0,,,,
330,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-05-30,Domestic,Capt. Arjun Patel,14400,07:30:00,09:00:00,Completed,6500,16900,93,10,Jet A,Economy,Technical Issues,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1520.0000000000018,,,,
331,Delta Air Lines,Boeing 737-800,ATL,FLL,156,224.0,90,640,2025-06-01,Domestic,Capt. Michael Johnson,29640,07:45:00,09:15:00,Completed,5800,15080,85,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,15259.999999999998,,,,
332,Emirates,Airbus A380-800,DXB,CDG,501,2550.0,420,3400,2025-06-02,International,Capt. Fatima Al-Mansoori,726450,15:30:00,22:30:00,Completed,51000,132600,96,0,Jet A-1,First Class,-,2.2,112200.00000000001,120,840,900,1600,500,116040.00000000001,610410.0,,,,
333,Southwest Airlines,Boeing 737-700,DAL,AUS,143,66.5,30,190,2025-06-03,Domestic,Capt. David Wilson,15730,11:15:00,11:45:00,Completed,2500,6500,91,0,Jet A,Economy,-,2.2,5500.0,120,60,190,750,500,7000.0,8730.0,,,,
334,Lufthansa,Boeing 747-8,FRA,ORD,365,3380.0,540,6760,2025-06-04,International,Capt. Klaus Fischer,357700,14:20:00,23:20:00,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,270400.0,,,,
335,Volaris,Airbus A320neo,MEX,SJD,180,325.5,90,930,2025-06-05,Domestic,Capt. Carlos MÃ©ndez,37800,13:00:00,14:30:00,Completed,7000,18200,94,0,Jet A,Economy,-,2.2,15400.000000000002,120,180,190,750,500,17020.0,20780.0,,,,
336,Qantas,Boeing 787-9,SYD,HNL,242,1470.0,540,4200,2025-06-06,International,Capt. Olivia Brown,229900,09:30:00,18:30:00,Completed,30000,78000,85,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,1600,500,69430.0,160470.0,,,,
337,American Airlines,Boeing 777-300,DFW,LHR,312,2505.0,540,5010,2025-06-07,International,Capt. Robert Taylor,374400,19:00:00,09:00+1,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1080,520,1600,500,85100.0,289300.0,,,,
338,AirAsia,Airbus A320-200,KUL,CNX,186,164.5,60,470,2025-06-08,International,Capt. Wei Chen,12090,16:45:00,17:45:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,120,190,1600,500,12310.0,-220.0,,,,
339,United Airlines,Boeing 787-9,ORD,AMS,248,1375.5,480,3930,2025-06-09,International,Capt. Emily Chen,235600,12:30:00,00:30+1,Completed,29000,75400,89,0,Jet A-1,Premium Economy,-,2.2,63800.00000000001,120,960,250,1600,500,67110.0,168490.0,,,,
340,Singapore Airlines,Airbus A350-900,SIN,PEK,301,1415.0,360,2830,2025-06-10,International,Capt. Rajesh Kumar,331100,08:00:00,14:00:00,Completed,28000,72800,92,0,Jet A-1,Business,-,2.2,61600.00000000001,120,720,520,1600,500,64940.00000000001,266160.0,,,,
341,Alaska Airlines,Boeing 737-900,SEA,SFO,178,336.0,120,960,2025-06-11,Domestic,Capt. Laura Adams,32040,06:30:00,08:30:00,Completed,6500,16900,81,0,Jet A,Economy,-,2.2,14300.000000000002,120,240,190,750,500,15980.000000000002,16059.999999999998,,,,
342,Japan Airlines,Boeing 787-8,HND,ICN,242,304.5,150,870,2025-06-12,International,Capt. Hiroshi Tanaka,205700,10:45:00,13:15:00,Completed,16000,41600,88,0,Jet A-1,Premium Economy,-,2.2,35200.0,120,300,250,1600,500,37850.0,167850.0,,,,
343,Spirit Airlines,Airbus A321-200,ATL,TPA,235,157.5,70,450,2025-06-13,Domestic,Capt. Brian Miller,22325,14:10:00,15:20:00,Completed,5000,13000,89,0,Jet A,Economy,-,2.2,11000.0,120,140,190,750,500,12580.0,9745.0,,,,
344,Turkish Airlines,Boeing 777-300ER,IST,JFK,342,2505.0,540,5010,2025-06-14,International,Capt. Mehmet YÄ±ldÄ±z,324900,16:00:00,01:00+1,Completed,36000,93600,88,0,Jet A-1,Business,-,2.2,79200.0,120,1080,520,1600,500,82900.0,242000.0,,,,
345,Air France,Airbus A350-900,CDG,ATL,267,1347.5,480,3850,2025-06-15,International,Capt. Sophie Laurent,200250,11:30:00,19:30:00,Completed,28000,72800,84,0,Jet A-1,Premium Economy,-,2.2,61600.00000000001,120,960,250,1600,500,64910.00000000001,135340.0,,,,
346,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-06-16,Domestic,Capt. Daniel White,14400,07:20:00,08:00:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,6719.999999999999,,,,
347,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-06-17,International,Capt. Emily Wong,479700,10:30:00,01:30+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,389220.0,,,,
348,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-06-18,Domestic,Capt. Kevin Taylor,15600,14:30:00,16:00:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-320.0000000000018,,,,
349,Qatar Airways,Boeing 777-300ER,DOH,IAH,312,5400.0,840,7200,2025-06-19,International,Capt. Ali Al-Mansoori,436800,03:00:00,16:00:00,Completed,42000,109200,91,0,Jet A-1,First Class,-,2.2,92400.00000000001,120,1680,900,1600,500,97080.00000000001,339720.0,,,,
350,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-06-20,International,Capt. Juan RodrÃ­guez,55680,09:15:00,12:15:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,21070.0,,,,
351,Air Canada,Airbus A330-300,YVR,YYZ,267,728.0,240,2080,2025-06-21,Domestic,Capt. Sarah Johnson,112140,17:00:00,21:00:00,Completed,22000,57200,86,0,Jet A,Economy,-,2.2,48400.00000000001,120,480,190,750,500,50320.00000000001,61819.99999999999,,,,
352,Ryanair,Boeing 737-800,DUB,STN,189,164.5,90,470,2025-06-22,International,Capt. Sean Murphy,11340,06:45:00,08:15:00,Completed,7500,19500,93,0,Jet A,Economy,-,2.2,16500.0,120,180,190,1600,500,18970.0,-7630.0,,,,
353,ANA,Boeing 787-9,NRT,SFO,248,2565.0,780,5130,2025-06-23,International,Capt. Kenji Sato,260400,13:15:00,03:15+1,Completed,27000,70200,89,0,Jet A-1,Business,-,2.2,59400.00000000001,120,1560,520,1600,500,63580.00000000001,196820.0,,,,
354,Hawaiian Airlines,Airbus A330-200,HNL,LAX,278,892.5,300,2550,2025-06-24,Domestic,Capt. Leilani Koa,105640,08:30:00,13:30:00,Completed,19500,50700,85,0,Jet A,Premium Economy,-,2.2,42900.0,120,600,250,750,500,45000.0,60640.0,,,,
355,KLM,Boeing 777-300,AMS,IAH,312,2475.0,600,4950,2025-06-25,International,Capt. Pieter Van Dijk,265200,11:45:00,21:45:00,Completed,35000,91000,91,0,Jet A-1,Business,-,2.2,77000.0,120,1200,520,1600,500,80820.0,184380.0,,,,
356,Azul Brazilian Airlines,Embraer E195,GRU,CNF,124,140.0,70,400,2025-06-26,Domestic,Capt. Thiago Silva,21080,10:50:00,12:00:00,Completed,4500,11700,82,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,9600.0,,,,
357,Etihad Airways,Airbus A380-800,AUH,LHR,489,2550.0,480,3400,2025-06-27,International,Capt. Omar Khan,684600,03:15:00,11:15:00,Completed,48000,124800,95,0,Jet A-1,First Class,-,2.2,105600.00000000001,120,960,900,1600,500,109560.00000000001,575040.0,,,,
358,Allegiant Air,Airbus A320-200,SFB,PIE,186,59.49999999999999,45,170,2025-06-28,Domestic,Capt. Lisa Brown,14880,15:45:00,16:30:00,Completed,3500,9100,94,0,Jet A,Economy,-,2.2,7700.000000000001,120,90,190,750,500,9230.0,5650.0,,,,
359,Virgin Atlantic,Airbus A350-1000,LHR,JFK,301,2587.5,420,3450,2025-06-29,International,Capt. Emma Wilson,331100,18:15:00,01:15+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,840,900,1600,500,67640.0,263460.0,,,,
360,IndiGo,Airbus A320neo,DEL,BOM,180,402.5,90,1150,2025-06-30,Domestic,Capt. Arjun Patel,13500,07:40:00,09:10:00,Completed,6500,16900,93,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-2420.000000000002,,,,
361,Delta Air Lines,Boeing 737-900,ATL,MCO,178,224.0,90,640,2025-07-01,Domestic,Capt. Robert Harris,35600,08:00:00,09:30:00,Completed,5800,15080,88,0,Jet A,Economy,-,2.2,12760.000000000002,120,180,190,750,500,14380.000000000002,21220.0,,,,
362,Emirates,Airbus A380-800,DXB,JFK,489,8265.0,780,11020,2025-07-02,International,Capt. Aisha Al-Mansoori,660150,22:30:00,11:30+1,Completed,52000,135200,95,0,Jet A-1,First Class,-,2.2,114400.00000000001,120,1560,900,1600,500,118960.00000000001,541190.0,,,,
363,Southwest Airlines,Boeing 737 MAX 8,DAL,HOU,143,136.5,45,390,2025-07-03,Domestic,Capt. James Wilson,16445,08:50:00,09:35:00,Completed,3200,8320,88,0,Jet A,Economy,-,2.2,7040.000000000001,120,90,190,750,500,8570.0,7875.0,,,,
364,Lufthansa,Boeing 747-8,FRA,ORD,365,3380.0,540,6760,2025-07-04,International,Capt. Klaus Fischer,346750,14:10:00,23:10:00,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,259450.0,,,,
365,Volaris,Airbus A320neo,MEX,CUN,180,280.0,90,800,2025-07-05,Domestic,Capt. Carlos MÃ©ndez,34200,12:45:00,14:15:00,Completed,7800,20280,94,0,Jet A,Economy,-,2.2,17160.0,120,180,190,750,500,18780.0,15420.0,,,,
366,Qantas,Boeing 787-9,SYD,LAX,285,2618.0,840,7480,2025-07-06,International,Capt. Olivia Smith,313500,09:15:00,22:15:00,Completed,31000,80600,91,0,Jet A-1,Premium Economy,-,2.2,68200.0,120,1680,250,1600,500,72230.0,241270.0,,,,
367,American Airlines,Boeing 777-300ER,DFW,HNL,312,1890.0,540,3780,2025-07-07,Domestic,Capt. David Lee,218400,10:30:00,19:30:00,Completed,34000,88400,89,0,Jet A-1,Business,-,2.2,74800.0,120,1080,520,750,500,77650.0,140750.0,,,,
368,AirAsia,Airbus A320-200,KUL,SIN,186,115.49999999999999,45,330,2025-07-08,International,Capt. Wei Chen,14880,16:30:00,17:15:00,Completed,4500,11700,93,0,Jet A,Economy,-,2.2,9900.0,120,90,190,1600,500,12280.0,2600.0,,,,
369,United Airlines,Boeing 767-400,ORD,MIA,214,665.0,180,1900,2025-07-09,Domestic,Capt. Emily Johnson,64200,13:50:00,16:50:00,Completed,16500,42900,82,0,Jet A,Economy,-,2.2,36300.0,120,360,190,750,500,38100.0,26100.0,,,,
370,Singapore Airlines,Airbus A350-900,SIN,LHR,301,5070.0,780,6760,2025-07-10,International,Capt. Raj Patel,391300,23:55:00,06:55+1,Completed,29000,75400,90,0,Jet A-1,First Class,-,2.2,63800.00000000001,120,1560,900,1600,500,68360.0,322940.0,,,,
371,Alaska Airlines,Boeing 737-900,SEA,ANC,178,503.99999999999994,180,1440,2025-07-11,Domestic,Capt. Laura Adams,37380,06:15:00,09:15:00,Completed,9500,24700,81,0,Jet A,Economy,-,2.2,20900.0,120,360,190,750,500,22700.0,14680.0,,,,
372,Japan Airlines,Boeing 787-8,HND,SYD,242,1704.5,840,4870,2025-07-12,International,Capt. Hiroshi Tanaka,254100,18:45:00,08:45+1,Completed,26000,67600,85,0,Jet A-1,Premium Economy,-,2.2,57200.00000000001,120,1680,250,1600,500,61230.00000000001,192870.0,,,,
373,Spirit Airlines,Airbus A321-200,FTL,ATL,235,336.0,90,960,2025-07-13,Domestic,Capt. Brian Miller,21150,11:25:00,12:55:00,Completed,11000,28600,89,0,Jet A,Economy,-,2.2,24200.000000000004,120,180,190,750,500,25820.000000000004,-4670.000000000004,,,,
374,Turkish Airlines,Boeing 777-300,IST,JFK,342,2505.0,540,5010,2025-07-14,International,Capt. Mehmet YÄ±lmaz,307800,15:45:00,00:45+1,Completed,36000,93600,88,0,Jet A-1,Business,-,2.2,79200.0,120,1080,520,1600,500,82900.0,224900.0,,,,
375,Air France,Airbus A330-200,CDG,DTW,267,1347.5,480,3850,2025-07-15,International,Capt. Sophie Laurent,186900,12:20:00,19:20:00,Completed,28000,72800,84,0,Jet A-1,Premium Economy,-,2.2,61600.00000000001,120,960,250,1600,500,64910.00000000001,121990.0,,,,
376,JetBlue,Airbus A220-300,JFK,BOS,120,105.0,40,300,2025-07-16,Domestic,Capt. Daniel White,15000,07:35:00,08:15:00,Completed,2800,7280,83,0,Jet A,Economy,-,2.2,6160.000000000001,120,80,190,750,500,7680.000000000001,7319.999999999999,,,,
377,Cathay Pacific,Airbus A350-1000,HKG,LAX,369,5182.5,840,6910,2025-07-17,International,Capt. Emily Wong,442800,10:50:00,01:50+1,Completed,39000,101400,92,0,Jet A-1,First Class,-,2.2,85800.0,120,1680,900,1600,500,90480.0,352320.0,,,,
378,Frontier Airlines,Airbus A319-100,DEN,PHX,156,210.0,90,600,2025-07-18,Domestic,Capt. Kevin Taylor,14820,14:40:00,16:10:00,Completed,6500,16900,87,0,Jet A,Economy,-,2.2,14300.000000000002,120,180,190,750,500,15920.000000000002,-1100.0000000000018,,,,
379,Qatar Airways,Boeing 777-200LR,DOH,IAH,312,5400.0,840,7200,2025-07-19,International,Capt. Ali Al-Hashimi,421200,02:45:00,15:45:00,Completed,42000,109200,91,0,Jet A-1,First Class,-,2.2,92400.00000000001,120,1680,900,1600,500,97080.00000000001,324120.0,,,,
380,Avianca,Airbus A320-200,BOG,MIA,174,518.0,180,1480,2025-07-20,International,Capt. Juan RodrÃ­guez,53940,09:10:00,12:10:00,Completed,14500,37700,90,0,Jet A,Premium Economy,-,2.2,31900.000000000004,120,360,250,1600,500,34610.0,19330.0,,,,
381,Delta Air Lines,Boeing 757-200,ATL,BNA,178,136.5,70,390,2025-07-21,Domestic,Capt. Sarah Miller,31150,09:20:00,10:30:00,Completed,4500,11700,85,0,Jet A,Economy,-,2.2,9900.0,120,140,190,750,500,11480.0,19670.0,,,,
382,Emirates,Airbus A380-800,DXB,MEL,489,5940.0,840,7920,2025-07-22,International,Capt. Ahmed Khan,733500,01:30:00,17:30:00,Delayed,58000,150800,95,38,Jet A-1,First Class,Technical Issues,2.2,127600.00000000001,120,1680,900,1600,500,132280.0,601220.0,,,,
383,Southwest Airlines,Boeing 737-700,DAL,OKC,143,105.0,45,300,2025-07-23,Domestic,Capt. Ryan Garcia,15015,12:45:00,13:30:00,Completed,2800,7280,91,0,Jet A,Economy,-,2.2,6160.000000000001,120,90,190,750,500,7690.000000000001,7324.999999999999,,,,
384,Lufthansa,Boeing 747-8,FRA,GRU,365,2965.0,660,5930,2025-07-24,International,Capt. Hans Weber,401500,16:00:00,06:00+1,Completed,41000,106600,89,0,Jet A-1,Business,-,2.2,90200.00000000001,120,1320,520,1600,500,94140.00000000001,307360.0,,,,
385,Volaris,Airbus A320neo,MEX,MTY,180,150.5,60,430,2025-07-25,Domestic,Capt. Luis HernÃ¡ndez,27000,14:10:00,15:10:00,Completed,3800,9880,94,0,Jet A,Economy,-,2.2,8360.0,120,120,190,750,500,9920.0,17080.0,,,,
386,Qantas,Boeing 787-9,BNE,SIN,242,1312.5,420,3750,2025-07-26,International,Capt. Olivia Brown,229900,08:00:00,15:00:00,Completed,29000,75400,85,0,Jet A-1,Premium Economy,-,2.2,63800.00000000001,120,840,250,1600,500,66990.0,162910.0,,,,
387,American Airlines,Boeing 777-200,DFW,CDG,298,2505.0,540,5010,2025-07-27,International,Capt. Robert Taylor,312900,19:15:00,10:15+1,Completed,38000,98800,87,0,Jet A-1,Business,-,2.2,83600.0,120,1080,520,1600,500,87300.0,225600.0,,,,
388,AirAsia,Airbus A320-200,DPS,SIN,186,227.49999999999997,90,650,2025-07-28,International,Capt. Priya Singh,13950,17:30:00,19:00:00,Completed,5500,14300,93,0,Jet A,Economy,-,2.2,12100.000000000002,120,180,190,1600,500,14570.000000000002,-620.0000000000018,,,,
389,United Airlines,Boeing 787-9,ORD,HNL,248,1323.0,540,3780,2025-07-29,Domestic,Capt. Emily Chen,186000,07:30:00,16:30:00,Completed,30000,78000,90,0,Jet A-1,Premium Economy,-,2.2,66000.0,120,1080,250,750,500,68580.0,117420.0,,,,
390,Singapore Airlines,Airbus A350-900,SIN,SYD,301,2940.0,480,3920,2025-07-30,International,Capt. Rajesh Kumar,361200,20:30:00,06:30+1,Completed,31000,80600,92,0,Jet A-1,First Class,-,2.2,68200.0,120,960,900,1600,500,72160.0,289040.0,,,,
391,Alaska Airlines,Boeing 737-800,SEA,BOI,148,140.0,60,400,2025-07-31,Domestic,Capt. Laura Wilson,19240,11:20:00,12:20:00,Completed,3200,8320,84,0,Jet A,Economy,-,2.2,7040.000000000001,120,120,190,750,500,8600.0,10640.0,,,,
392,Japan Airlines,Boeing 787-8,NRT,HKG,242,1050.0,300,2100,2025-08-01,International,Capt. Kenji Yamamoto,222640,12:45:00,17:45:00,Completed,22000,57200,88,0,Jet A-1,Business,-,2.2,48400.00000000001,120,600,520,1600,500,51620.00000000001,171020.0,,,,
393,Spirit Airlines,Airbus A321-200,LAS,PHX,235,161.0,70,460,2025-08-02,Domestic,Capt. Brian Davis,21150,14:30:00,15:40:00,Completed,5000,13000,89,0,Jet A,Economy,-,2.2,11000.0,120,140,190,750,500,12580.0,8570.0,,,,
394,Turkish Airlines,Boeing 777-300ER,IST,ORD,342,2550.0,600,5100,2025-08-03,International,Capt. Mehmet YÄ±ldÄ±z,376200,13:15:00,23:15:00,Completed,37000,96200,91,0,Jet A-1,Business,-,2.2,81400.0,120,1200,520,1600,500,85220.0,290980.0,,,,
